idtov	name
8RP	Пилка лобз БОШ  5 T344 DF BIM  2 608 634 243
8RQ	БОШ Лазерный дальномер DLE150+ZO4 0 601 098 319	
8RR	Фрезер БОШ GOF  900 CE  0 601 614 608 
8RS	Машина углошлиф.БОШ GWS 15-150 CI 
5CQ	Перчатки Х/Б с нитр.покр. Интертул желтые	
8RT	БОШ Машина углошлиф. GWS 24-230 JB 0 601 864 878  
8RU	Гайковёрт аккум уд БОШ GDR 12V  0 601 909 588 
8RV	БОШ Пила дисковая РKS 40  0 603 328 008 
8RW	ЯЯ БОШ Пила дисковая РKS 54 СЕ 0 603 330 708
8RX	БОШ Акк. Шуруповерт  PSR 1200 0 603 944 508 
8RY	БОШ Акк. Шуруповерт GSR 12V SD 0 601 995 J20
8RZ	БОШ Пила дисковая GKS 55+ Чем+Диск 0 615 990 842  
8S0	БОШ Перфоратор GBH 2-26 DFR+Оснаст 0 611 254 326  
8S1	Скобозабиватель БОШ  ручной HMТ53  0 603 038 002  
8S2	Перфоратор БОШ GBH 2-26 DBR BULLDOG+Осн.
5CR	ЯЯ Щит освещения ОЩВ-10 100А
8S3	Дрель аккум БОШ PSR 960 0 603 944 669 
8S4	Пилка лобз БОШ  5 T227 D HSS  2 608 631 030 
8S5	Пилка лобз БОШ  5 T244 D HСS  2 608 630 058 
8S6	Пилка лобз БОШ  1T344 DP HCS 2 608 633 A36  
8S7	ЯЯ БОШ  10 Шлифлист. лип. 125мм К40 Д  2 608  605 
8S8	Шлифлента БОШ 10 75*533  К40 Д  2 608 606 080 
8S9	Шлифлента БОШ 10 75*533  К60 Д  2 608 606 081 
8SA	Пила торц  БОШ  GCM 10 SD % 
8SB	Шлифлента БОШ 3  75*533 К100 Д 2 608 606 072
8SC	Шлифлента БОШ 3  75*533 К150 Д  2 608 606 073 
5CS	Лампа Varta 706.000.402 ВР2  2.2V 0.45 д/фонаря	
8SD	Шлифлента БОШ 3  75*533  К40 Д  2 608 606 069 
8SE	Шлифлента БОШ 3  75*533  К60 Д  2 608 606 070 
8SF	Шлифлента БОШ 3  75*533  К80 Д  2 608 606 071 
8SG	Шлифлента БОШ 3  75*533 комп. 2 608 606 078 
8SH	Шлифлист дер БОШ 5 К100 125мм  2 608 605 070
8SI	Шлифлист дер БОШ 5 К120 125мм  2 608 605 071
