CMDLINE /usr/bin/python3 beton.py
MEM 3.535156 1670774346.9183
MEM 17.039062 1670774347.0187
MEM 23.070312 1670774347.1193
MEM 26.148438 1670774347.2198
MEM 29.921875 1670774347.3205
MEM 34.296875 1670774347.4212
MEM 38.328125 1670774347.5217
MEM 43.062500 1670774347.6221
MEM 47.628906 1670774347.7225
MEM 51.546875 1670774347.8231
MEM 55.140625 1670774347.9235
MEM 58.296875 1670774348.0240
MEM 61.582031 1670774348.1244
MEM 65.914062 1670774348.2252
MEM 70.156250 1670774348.3258
MEM 73.371094 1670774348.4262
MEM 77.003906 1670774348.5269
MEM 81.679688 1670774348.6276
MEM 84.414062 1670774348.7281
MEM 88.074219 1670774348.8286
MEM 92.054688 1670774348.9290
MEM 93.886719 1670774349.0335
MEM 96.929688 1670774349.1341
MEM 101.265625 1670774349.2344
MEM 104.203125 1670774349.3350
MEM 106.332031 1670774349.4354
MEM 108.035156 1670774349.5359
MEM 112.691406 1670774349.6363
MEM 117.078125 1670774349.7368
MEM 120.867188 1670774349.8372
MEM 123.496094 1670774349.9413
MEM 126.214844 1670774350.0417
MEM 130.070312 1670774350.1423
MEM 131.859375 1670774350.2433
MEM 135.140625 1670774350.3438
MEM 139.625000 1670774350.4443
MEM 142.460938 1670774350.5448
MEM 143.242188 1670774350.6454
MEM 145.937500 1670774350.7462
MEM 148.628906 1670774350.8466
MEM 151.246094 1670774350.9471
MEM 152.636719 1670774351.0475
MEM 152.820312 1670774351.1479
MEM 152.824219 1670774351.2484
MEM 0.000000 1670774351.3496
