CMDLINE /usr/bin/python3 beton.py
MEM 154.296875 1670774374.6600
MEM 154.296875 1670774374.7604
MEM 154.296875 1670774374.8608
MEM 154.296875 1670774374.9616
MEM 154.296875 1670774375.0621
MEM 154.296875 1670774375.1625
MEM 154.703125 1670774375.2635
MEM 178.574219 1670774375.3639
MEM 184.246094 1670774375.4643
MEM 191.531250 1670774375.5647
MEM 201.292969 1670774375.6652
MEM 208.148438 1670774375.7657
MEM 218.203125 1670774375.8662
MEM 221.460938 1670774375.9668
MEM 231.457031 1670774376.0672
MEM 238.128906 1670774376.1677
MEM 241.480469 1670774376.2683
MEM 249.472656 1670774376.3688
MEM 256.027344 1670774376.4693
MEM 263.875000 1670774376.5697
MEM 278.828125 1670774376.6702
MEM 286.562500 1670774376.7706
MEM 299.195312 1670774376.8711
MEM 310.023438 1670774376.9721
MEM 315.695312 1670774377.0726
MEM 331.679688 1670774377.1732
MEM 335.546875 1670774377.2737
MEM 352.046875 1670774377.3741
MEM 352.531250 1670774377.4745
MEM 404.832031 1670774377.5750
MEM 408.136719 1670774377.6754
MEM 417.097656 1670774377.7759
MEM 428.164062 1670774377.8766
MEM 430.488281 1670774377.9771
MEM 430.488281 1670774378.0775
MEM 430.488281 1670774378.1780
MEM 430.488281 1670774378.2785
MEM 430.488281 1670774378.3790
MEM 440.949219 1670774378.4797
MEM 462.835938 1670774378.5802
MEM 487.000000 1670774378.6811
MEM 471.273438 1670774378.7816
MEM 478.781250 1670774378.8820
MEM 511.042969 1670774378.9825
MEM 527.414062 1670774379.0831
MEM 527.414062 1670774379.1835
MEM 527.414062 1670774379.2841
MEM 527.414062 1670774379.3846
MEM 527.414062 1670774379.4851
MEM 527.414062 1670774379.5856
MEM 527.414062 1670774379.6860
MEM 527.414062 1670774379.7865
MEM 527.414062 1670774379.8869
MEM 547.347656 1670774379.9875
MEM 535.445312 1670774380.0879
MEM 572.308594 1670774380.1884
MEM 584.113281 1670774380.2889
MEM 631.074219 1670774380.3894
MEM 631.332031 1670774380.4898
MEM 607.367188 1670774380.5902
MEM 607.367188 1670774380.6907
MEM 607.367188 1670774380.7912
MEM 607.367188 1670774380.8916
MEM 607.367188 1670774380.9923
MEM 607.367188 1670774381.0928
MEM 607.367188 1670774381.1934
MEM 607.367188 1670774381.2939
MEM 607.367188 1670774381.3943
MEM 607.367188 1670774381.4948
MEM 607.367188 1670774381.5953
MEM 607.367188 1670774381.6957
MEM 607.367188 1670774381.7962
MEM 609.027344 1670774381.8971
MEM 609.738281 1670774381.9977
MEM 619.160156 1670774382.0981
MEM 654.757812 1670774382.1986
MEM 685.613281 1670774382.2991
MEM 714.941406 1670774382.3995
MEM 744.269531 1670774382.5044
MEM 774.835938 1670774382.6054
MEM 0.000000 1670774382.9531
