CMDLINE /usr/bin/python3 beton.py
MEM 0.003906 1670774357.6491
MEM 18.859375 1670774357.7495
MEM 24.964844 1670774357.8500
MEM 29.949219 1670774357.9505
MEM 36.140625 1670774358.0509
MEM 42.312500 1670774358.1514
MEM 46.144531 1670774358.2519
MEM 51.550781 1670774358.3523
MEM 55.332031 1670774358.4532
MEM 58.742188 1670774358.5538
MEM 61.628906 1670774358.6543
MEM 67.566406 1670774358.7547
MEM 71.417969 1670774358.8552
MEM 75.531250 1670774358.9556
MEM 81.386719 1670774359.0560
MEM 86.292969 1670774359.1566
MEM 91.464844 1670774359.2571
MEM 93.292969 1670774359.3576
MEM 96.214844 1670774359.4579
MEM 101.394531 1670774359.5584
MEM 105.285156 1670774359.6588
MEM 106.988281 1670774359.7594
MEM 109.750000 1670774359.8600
MEM 113.261719 1670774359.9608
MEM 117.750000 1670774360.0613
MEM 121.160156 1670774360.1619
MEM 124.492188 1670774360.2633
MEM 126.574219 1670774360.3645
MEM 130.347656 1670774360.4649
MEM 133.050781 1670774360.5653
MEM 135.972656 1670774360.6658
MEM 139.324219 1670774360.7662
MEM 142.332031 1670774360.8669
MEM 142.847656 1670774360.9675
MEM 145.773438 1670774361.0680
MEM 148.656250 1670774361.1685
MEM 151.484375 1670774361.2690
MEM 153.804688 1670774361.3697
MEM 154.296875 1670774361.4704
MEM 154.296875 1670774361.5711
MEM 154.296875 1670774361.6719
MEM 154.296875 1670774361.7726
MEM 154.296875 1670774361.8734
MEM 154.296875 1670774361.9741
MEM 154.296875 1670774362.0749
MEM 154.296875 1670774362.1757
MEM 154.296875 1670774362.2764
MEM 154.296875 1670774362.3772
MEM 154.296875 1670774362.4779
MEM 154.296875 1670774362.5787
MEM 154.296875 1670774362.6797
MEM 154.296875 1670774362.7806
MEM 154.296875 1670774362.8817
MEM 154.296875 1670774362.9824
MEM 154.296875 1670774363.0831
MEM 154.296875 1670774363.1839
MEM 154.296875 1670774363.2845
MEM 154.296875 1670774363.3851
MEM 154.296875 1670774363.4856
MEM 154.296875 1670774363.5865
MEM 154.296875 1670774363.6870
MEM 154.296875 1670774363.7878
MEM 154.296875 1670774363.8886
MEM 154.296875 1670774363.9892
MEM 154.296875 1670774364.0899
MEM 154.296875 1670774364.1907
MEM 154.296875 1670774364.2916
MEM 154.296875 1670774364.3924
MEM 154.296875 1670774364.4933
MEM 154.296875 1670774364.5943
MEM 154.296875 1670774364.6950
MEM 154.296875 1670774364.7957
MEM 154.296875 1670774364.8962
MEM 154.296875 1670774364.9967
MEM 154.296875 1670774365.0973
MEM 154.296875 1670774365.1978
MEM 154.296875 1670774365.2986
MEM 154.296875 1670774365.3994
MEM 154.296875 1670774365.5001
MEM 154.296875 1670774365.6010
MEM 154.296875 1670774365.7015
MEM 154.296875 1670774365.8021
MEM 154.296875 1670774365.9028
MEM 154.296875 1670774366.0033
MEM 154.296875 1670774366.1040
MEM 154.296875 1670774366.2051
MEM 154.296875 1670774366.3058
MEM 154.296875 1670774366.4066
MEM 154.296875 1670774366.5070
MEM 154.296875 1670774366.6076
MEM 154.296875 1670774366.7082
MEM 154.296875 1670774366.8087
MEM 154.296875 1670774366.9098
MEM 154.296875 1670774367.0105
MEM 154.296875 1670774367.1111
MEM 154.296875 1670774367.2116
MEM 154.296875 1670774367.3121
MEM 154.296875 1670774367.4128
MEM 154.296875 1670774367.5134
MEM 154.296875 1670774367.6139
MEM 154.296875 1670774367.7147
MEM 154.296875 1670774367.8153
MEM 154.296875 1670774367.9158
MEM 154.296875 1670774368.0163
MEM 154.296875 1670774368.1172
MEM 154.296875 1670774368.2178
MEM 154.296875 1670774368.3183
MEM 154.296875 1670774368.4190
MEM 154.296875 1670774368.5196
MEM 154.296875 1670774368.6200
MEM 154.296875 1670774368.7208
MEM 154.296875 1670774368.8218
MEM 154.296875 1670774368.9227
MEM 154.296875 1670774369.0234
MEM 154.296875 1670774369.1239
MEM 154.296875 1670774369.2251
MEM 154.296875 1670774369.3256
MEM 154.296875 1670774369.4263
MEM 154.296875 1670774369.5271
MEM 154.296875 1670774369.6276
MEM 154.296875 1670774369.7281
MEM 154.296875 1670774369.8287
MEM 154.296875 1670774369.9294
MEM 154.296875 1670774370.0300
MEM 154.296875 1670774370.1309
MEM 154.296875 1670774370.2315
MEM 154.296875 1670774370.3322
MEM 154.296875 1670774370.4328
MEM 154.296875 1670774370.5334
MEM 154.296875 1670774370.6340
MEM 154.296875 1670774370.7344
MEM 154.296875 1670774370.8353
MEM 154.296875 1670774370.9362
MEM 154.296875 1670774371.0372
MEM 154.296875 1670774371.1377
MEM 154.296875 1670774371.2381
MEM 154.296875 1670774371.3388
MEM 154.296875 1670774371.4394
MEM 154.296875 1670774371.5401
MEM 154.296875 1670774371.6410
MEM 154.296875 1670774371.7416
MEM 154.296875 1670774371.8422
MEM 154.296875 1670774371.9428
MEM 154.296875 1670774372.0433
MEM 154.296875 1670774372.1439
MEM 154.296875 1670774372.2445
MEM 154.296875 1670774372.3455
MEM 154.296875 1670774372.4463
MEM 154.296875 1670774372.5471
MEM 154.296875 1670774372.6479
MEM 154.296875 1670774372.7487
MEM 154.296875 1670774372.8496
MEM 154.296875 1670774372.9503
MEM 154.296875 1670774373.0512
MEM 154.296875 1670774373.1520
MEM 154.296875 1670774373.2526
MEM 154.296875 1670774373.3531
MEM 154.296875 1670774373.4536
MEM 154.296875 1670774373.5542
MEM 154.296875 1670774373.6547
MEM 154.296875 1670774373.7553
MEM 154.296875 1670774373.8559
MEM 154.296875 1670774373.9564
MEM 154.296875 1670774374.0569
MEM 154.296875 1670774374.1574
MEM 154.296875 1670774374.2580
MEM 154.296875 1670774374.3585
MEM 154.296875 1670774374.4590
MEM 154.296875 1670774374.5595
