CMDLINE /usr/bin/python3 beton.py
MEM 0.726562 1670774458.2108
MEM 12.691406 1670774458.3113
MEM 19.242188 1670774458.4118
MEM 25.417969 1670774458.5123
MEM 28.453125 1670774458.6154
MEM 34.390625 1670774458.7159
MEM 39.671875 1670774458.8163
MEM 43.992188 1670774458.9169
MEM 48.566406 1670774459.0174
MEM 52.492188 1670774459.1179
MEM 56.757812 1670774459.2185
MEM 59.898438 1670774459.3190
MEM 63.835938 1670774459.4194
MEM 68.066406 1670774459.5205
MEM 70.312500 1670774459.6211
MEM 73.636719 1670774459.7222
MEM 77.019531 1670774459.8227
MEM 81.355469 1670774459.9233
MEM 84.792969 1670774460.0238
MEM 90.921875 1670774460.1243
MEM 92.531250 1670774460.2247
MEM 95.402344 1670774460.3252
MEM 99.300781 1670774460.4257
MEM 103.121094 1670774460.5263
MEM 106.324219 1670774460.6268
MEM 107.035156 1670774460.7272
MEM 111.343750 1670774460.8275
MEM 115.171875 1670774460.9281
MEM 118.511719 1670774461.0289
MEM 122.210938 1670774461.1293
MEM 124.777344 1670774461.2300
MEM 127.585938 1670774461.3304
MEM 130.621094 1670774461.4309
MEM 133.082031 1670774461.5314
MEM 135.492188 1670774461.6319
MEM 138.738281 1670774461.7323
MEM 142.101562 1670774461.8327
MEM 142.660156 1670774461.9333
MEM 145.480469 1670774462.0340
MEM 148.414062 1670774462.1345
MEM 150.148438 1670774462.2349
MEM 153.519531 1670774462.3353
MEM 154.257812 1670774462.4361
MEM 154.257812 1670774462.5366
MEM 154.257812 1670774462.6373
MEM 154.257812 1670774462.7380
MEM 154.257812 1670774462.8386
MEM 154.257812 1670774462.9391
MEM 154.257812 1670774463.0396
MEM 154.257812 1670774463.1405
MEM 154.257812 1670774463.2413
MEM 154.257812 1670774463.3420
MEM 154.257812 1670774463.4425
MEM 154.257812 1670774463.5434
MEM 154.257812 1670774463.6440
MEM 154.257812 1670774463.7448
MEM 154.257812 1670774463.8453
MEM 154.257812 1670774463.9458
MEM 154.257812 1670774464.0464
MEM 154.257812 1670774464.1470
MEM 154.257812 1670774464.2475
MEM 154.257812 1670774464.3479
MEM 154.257812 1670774464.4486
MEM 154.257812 1670774464.5493
MEM 154.257812 1670774464.6498
MEM 154.257812 1670774464.7504
MEM 154.257812 1670774464.8509
MEM 154.257812 1670774464.9515
MEM 154.257812 1670774465.0521
MEM 154.257812 1670774465.1532
MEM 154.257812 1670774465.2538
MEM 154.257812 1670774465.3543
MEM 154.257812 1670774465.4552
MEM 154.257812 1670774465.5560
MEM 154.257812 1670774465.6565
MEM 154.257812 1670774465.7570
MEM 154.257812 1670774465.8575
MEM 154.257812 1670774465.9579
MEM 154.257812 1670774466.0583
MEM 154.257812 1670774466.1588
MEM 154.808594 1670774466.2595
MEM 154.808594 1670774466.3601
MEM 154.808594 1670774466.4607
MEM 154.808594 1670774466.5613
MEM 154.808594 1670774466.6619
MEM 154.808594 1670774466.7624
MEM 154.808594 1670774466.8629
MEM 154.808594 1670774466.9635
MEM 154.808594 1670774467.0641
MEM 154.808594 1670774467.1646
MEM 154.808594 1670774467.2652
MEM 154.808594 1670774467.3659
MEM 154.808594 1670774467.4667
MEM 154.808594 1670774467.5675
MEM 154.808594 1670774467.6683
MEM 154.808594 1670774467.7700
MEM 154.808594 1670774467.8708
MEM 154.808594 1670774467.9713
MEM 154.808594 1670774468.0720
MEM 154.808594 1670774468.1725
MEM 154.808594 1670774468.2735
MEM 154.808594 1670774468.3741
MEM 154.808594 1670774468.4747
MEM 154.808594 1670774468.5753
MEM 154.808594 1670774468.6759
MEM 154.808594 1670774468.7767
MEM 154.808594 1670774468.8773
MEM 154.808594 1670774468.9781
